"","curv_meth.x","leaf_unique","dat_vcmax","dat_jmax","fit_type","treeid","curv_meth.y","ss_vcmax","ss_jmax","vc_diff","j_diff"
"1","DAT","K6702L1",15.6180110043827,19.2543444370173,"no_tpu","K6702","SS",15.7223868774886,31.4973220244293,0.1043758731059,12.242977587412
"2","DAT","K6704L1",20.9723303782942,50.5058055093773,"no_tpu","K6704","SS",24.4803926555908,58.3880951288816,3.5080622772966,7.8822896195043
"3","DAT","K6704L2",17.1010409802947,48.9217743496131,"no_tpu","K6704","SS",20.1850378784446,51.6187552510138,3.0839968981499,2.6969809014007
"4","DAT","K6705L1",20.0608067563291,39.2217998600697,"no_tpu","K6705","SS",19.7794962782652,36.5961509135292,-0.281310478063851,-2.62564894654045
"5","DAT","K6705L2",23.0971339211824,40.3782363725938,"no_tpu","K6705","SS",23.8766834288716,43.189880886,0.7795495076892,2.8116445134062
"6","DAT","K6706L1",28.7144498138449,29.5791252099867,"no_tpu","K6706","SS",27.4969218092616,49.0589781668015,-1.2175280045833,19.4798529568148
"7","DAT","K6706L2",32.5066954433798,56.370037454682,"no_tpu","K6706","SS",34.3921159858005,68.0705279592811,1.8854205424207,11.7004905045991
"8","DAT","K6707L1",54.4376283090951,65.9243458138209,"no_tpu","K6707","SS",64.2091415534769,97.3764422710052,9.77151324438175,31.4520964571843
"9","DAT","K6707L2",69.855479302518,71.3573516380592,"no_tpu","K6707","SS",83.1847801101414,114.515185754827,13.3293008076234,43.1578341167678
"10","DAT","K6708L1",28.453732046112,46.8714935715359,"no_tpu","K6708","SS",26.7403772016636,49.8467252331649,-1.7133548444484,2.975231661629
"11","DAT","K6708L2",24.2797110809525,42.1923071395358,"no_tpu","K6708","SS",24.7520492452971,48.0803797832776,0.472338164344603,5.8880726437418
"12","DAT","K6709L2",55.9062462436871,76.8987434669276,"no_tpu","K6709","SS",61.8109104187878,101.543738218681,5.90466417510075,24.6449947517534
"13","DAT","K6709L6",53.0595098627546,60.671476281034,"no_tpu","K6709","SS",60.7015736683179,99.3203356538318,7.6420638055633,38.6488593727978
"14","DAT","K6709L8",67.3897406880492,100.383025632924,"no_tpu","K6709","SS",63.9907048708024,105.934715873284,-3.3990358172468,5.55169024036
"15","DAT","K6713L1",24.7465720053319,36.0356453519676,"no_tpu","K6713","SS",25.8682799595775,44.2928120441761,1.1217079542456,8.2571666922085
"16","DAT","K6713L2",20.4203876928336,36.9942418321941,"no_tpu","K6713","SS",18.9133596747589,38.4232236937433,-1.5070280180747,1.4289818615492
"17","DAT","K6713L3",32.3355745742297,49.4337859056381,"no_tpu","K6713","SS",33.9742611234906,52.4084478887469,1.6386865492609,2.9746619831088
"18","DAT","K6714L1",19.37455101739,9.50541718477982,"no_tpu","K6714","SS",21.9548185074285,27.8637080930005,2.5802674900385,18.3582909082207
"19","DAT","K6714L2",25.2708568736179,12.5771464353096,"no_tpu","K6714","SS",19.8808847672953,30.1627239928178,-5.3899721063226,17.5855775575082
"20","DAT","K6715L1",21.2128756232073,40.0196633248893,"no_tpu","K6715","SS",22.0742612154155,46.0320627445871,0.861385592208197,6.01239941969785
"21","DAT","K6715L2",28.9085890852688,48.5082648723962,"no_tpu","K6715","SS",28.547321190725,54.9771682074288,-0.361267894543801,6.4689033350326
"22","DAT","K6716L1",34.953904964134,53.022309430698,"no_tpu","K6716","SS",36.9666800180096,62.09438847834,2.0127750538756,9.072079047642
"23","DAT","K6716L2",29.4241932947218,47.4460314008283,"no_tpu","K6716","SS",34.3777378622275,60.797376697413,4.9535445675057,13.3513452965847
"24","DAT","K6717L1",39.691848414264,66.2327632525711,"no_tpu","K6717","SS",43.2766999579409,69.4989289698232,3.5848515436769,3.26616571725209
"25","DAT","K6717L2",41.4364510995175,70.951594530939,"no_tpu","K6717","SS",43.6113708143378,71.9036163797259,2.17491971482031,0.952021848786899
"26","DAT","K6718L1",14.5532211567,37.6393798356844,"no_tpu","K6718","SS",17.831018132625,40.7319651697927,3.277796975925,3.0925853341083
"27","DAT","K6718L2",9.9166805150425,23.5891294208106,"no_tpu","K6718","SS",11.0430366530893,24.0306209492233,1.1263561380468,0.441491528412701
