"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","treeid","treename","family","gen_spec","gen_spec_id","overshoot","rel_can_pos","meanTleafK","Best_Vcmax_25C","Best_Jmax_25C","curv_meth"
0,28.4327567489036,0.296352498860277,29.9835576234735,29.6899275295985,0.0700063763045679,1.69970500123489,0.00978855760014685,1.18129346075031,0.0375131132577872,29.2784798898599,454.8787,673.1811,121,43,211,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1","K6702",2,"Lecythidaceae","Couratari stellata","Couratari stellata","Partial",11,304.705113066667,16.6999781250114,24.0453116295858,"DAT"
0,36.6666175001539,0.276818013922102,60.6674284172684,59.408704503373,0.0345678883602051,4.72988428737957,0.0113070131020347,0.436706935841085,0.0501998337855362,36.5569312481084,653.47265,1215.8545,162,120,99,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1","K6704",4,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1","0",5.1,304.47598496063,21.8103222569684,48.8281551067154,"DAT"
0,30.3000694008702,0.196719310508659,59.4180754024055,58.212935727473,0.0523876760830075,4.57662193194756,0.0105535636108613,0.958161823204951,0.0488503698319896,34.4441543657764,927.8938,1372.239,230,107,42,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2","K6704",4,"Fabaceae","Abarema mataybifolia","Abarema mataybifolia #1","0",5.1,304.516104221636,17.9826864204531,47.7909426331716,"DAT"
0,33.6778172754053,0.1945400828436,49.5397902047642,48.7144306979808,0.0218048522839652,1000,NA,0.888278197241564,0.0346410984814408,12.4724699905287,629.69555,1489.225,166,213,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1","K6705",5,"Burseraceae","Protium apiculatum","Protium apiculatum","0",6,304.532076411609,19.9694799846868,39.835308650493,"DAT"
0,33.9549892951708,0.215940860204727,48.0011530518013,47.2280588519081,0.020869456753518,1000,NA,0.482814145359903,0.037229575620926,12.2395312005789,602.08445,1472.973,155,223,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1-1","K6705",5,"Burseraceae","Protium apiculatum","Protium apiculatum","0",6,304.515837724868,20.1521335279713,38.6082910696462,"DAT"
0,41.2544707947994,0.304951903232841,55.5187140793427,54.4727351189983,0.0486957109552318,3.56962919001199,0.0070309264634975,-0.898915833924858,0.0498146747596575,33.6512443606527,541.73435,959.17805,134,91,144,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2","K6705",5,"Burseraceae","Protium apiculatum","Protium apiculatum","0",6,304.436429376694,24.5944020324992,44.7139693813542,"DAT"
0,53.5755780479848,0.349279373455164,63.9550483663718,62.5492265373041,0.38469918376382,2.71360127576921,0.0165933408639546,1.21984324586309,0.0552265764748738,85.6833215821757,569.7047,701.32155,151,19,205,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1","K6706",6,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1","1",4,304.871165546667,31.1919460077514,51.1685458250515,"DAT"
0,53.656859597221,0.567790033719748,68.3377423245349,66.7219508969366,0.0646602191984468,5.30710616790915,0.01387829361198,-0.167800268433342,0.111655795892867,93.4125344220344,705.45085,1516.0865,170,170,34,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2","K6706",6,"Lecythidaceae","Eschweilera sp. trufle1","Eschweilera sp. trufle1","1",4,304.596246524064,31.7030521410176,54.8946034319436,"DAT"
0,117.13667143618,0.574410990644645,125.742064235344,119.769003599695,0.204969084418923,6.10794736587082,0.012328876858108,0.847959919554917,0.0497728720181556,191.934481434648,307.65505,567.68535,89,57,233,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1","K6707",7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2,304.498092401055,69.5893825505214,101.1663507373,"DAT"
0,118.109204989222,0.531318965675986,121.066042995865,115.568666300288,0.157803418064277,6.01968083299828,0.0160322067250297,1.0848648427773,0.0383850894128048,193.457670396877,263.6758,551.83755,78,65,237,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1-1","K6707",7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2,304.4897595,70.2000697566834,97.4176540388538,"DAT"
0,128.405251590828,1.60749171092064,130.310248320926,123.849990136161,0.507505982593632,6.26987343430738,0.0140202237851729,2.98345786132908,0.214909191940101,402.55001352589,454.04775,697.40135,128,44,207,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2","K6707",7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2,303.853334960422,79.2765220227229,106.131999655393,"DAT"
0,133.814506178505,1.17243039919183,145.681225487689,137.413592755803,0.498709823921318,6.4396801932885,0.0156562973924762,2.5984535686061,0.136297114630595,335.932657660492,390.1254,577.96705,114,35,229,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2-2","K6707",7,"Fabaceae","Tachigali chrysophylla","Tachigali chrysophylla","1",2,303.87515021164,82.5028500582924,118.595923699792,"DAT"
