"Tree_id","DAT","person","Mean.Tleaf","Max.Tleaf","Asat","Amax","Amin","Ci.at.Asat","E.at.Asat","Ca","A/Ci","Ci/Ca","gs.at.Asat","gs.index","Mean.gs","mean.RH","Flow","mean.Press","Max.VPD","Ciindex","vcmax_Best_Model","Jmax_Best","Rd_Best","Best_Vcmax_25C","Best Jmax_25C","GammaStar","Kmi","TleafK.Asat"
"K6702L1_Before_DAT","Before_DAT","Charlie","31.5551127750933","31.6190375","5.361992167","7.220667366","0.405880262","271.5229891","0.001508425","396.8066667","0.0197478386076002","0.684270230029379","0.075838561","0.32272542144001","0.0761445934666667","60.0220621458133","500.149092552533","99.6671777585333","1.978917445","0.97417971817568","26.1133162346794","23.6569628130026","-1.36847057215772","15.3376551067357","18.9716995110982","5.92941208856357","124.792115482949","304.68114"
"K6704L1_Before_DAT","Before_DAT","Emmy","31.3263369633508","31.48685","6.658335","15.38856","-0.4012608","310.4332","0.002536332","404.2019333","0.0214485274126608","0.76801512913496","0.131845628","0.438487622001344","0.160624290795812","60.2223028762827","500.126740500524","99.3784855561518","1.928690807","0.966376629202133","40.3059023345531","63.7351653162815","-0.0339672514091787","23.9745932836201","51.2969208818593","5.88845976216051","123.281384996477","304.53981"
"K6704L2_Before_DAT","Before_DAT","Charlie","31.3663202105263","31.44818","6.095425","15.09333","-0.05452939","309.1677","0.002434629","399.13025","0.019715594481571","0.774603528547385","0.126285633","0.35468560881812","0.116065553973684","59.8779189612632","500.115645127895","99.4390555172105","1.928153311","0.966487595489931","35.985745740582","60.7592923020328","-0.216895738918267","21.3568008689744","48.8695330077223","5.8842518661529","123.126676588038","304.52524"
"K6705L1-1_Before_DAT","Before_DAT","Charlie","31.3658009762533","31.40433","5.71948","11.1987","0.2474173","301.274","0.002105266","397.3374","0.0189843132829252","0.758232172455953","0.109423465","0.56193142342031","0.0888422260474934","59.8808668736148","500.118084587335","99.4460339379683","1.922667357","0.96763725285722","34.2785908746363","48.0409516147992","-0.461956410078758","20.3442315110396","38.640325077099","5.87110780714142","122.644044213972","304.47967"
"K6705L1_Before_DAT","Before_DAT","Charlie","31.3821715789474","31.42936","5.962789","12.23901","0.4460257","300.7757","0.002077999","402.2541333","0.0198247032589401","0.747725567249007","0.107375437","0.463084674570117","0.0913042611289474","59.9495826472368","500.121090825789","99.4631778558421","1.925703587","0.971421787700113","33.46155887654","49.3925565052448","-0.90269545860749","19.84114267994","39.7168556263134","5.87922717821441","122.942064946131","304.50783"
"K6705L2_Before_DAT","Before_DAT","Charlie","31.2865563243243","31.3334","5.775823","10.27211","-0.2493063","306.2551","0.002111897","402.3387333","0.0188595161354048","0.761187215280225","0.110595093","0.386176420427575","0.0974047939783784","59.926858644","500.123213583243","99.3350519044595","1.898613789","0.966924541582613","39.8399673358069","50.5399941375007","0.640807806098046","23.7509553591494","40.7040925814147","5.85368231693814","122.005662753629","304.41912"
"K6706L1_Before_DAT","Before_DAT","Charlie","31.7212124645479","31.76005","8.582347","14.63409","0.6634425","261.5775","0.002901959","370.1248667","0.0328099588076192","0.706727711467218","0.14328039","0.0430456769873497","0.143639972074468","60.03764448125","500.134717885372","99.1924631811702","2.002270072","0.972800013926894","51.8928125254394","39.5416591436436","-1.61814156883296","30.2121584789538","31.6360940120101","5.97772818688983","126.586319768869","304.8468"
"K6706L2_Before_DAT","Before_DAT","Emmy","31.44552544","31.46616","8.68689","16.1878","-0.4426187","306.81","0.003895059","389.1844667","0.0283135816955119","0.788340815864324","0.201459975","0.149710209381062","0.200697251466667","59.9858781556267","500.136609238933","99.0760306211733","1.931691856","0.968712658588704","58.1738128991025","71.9657135458515","0.468437281987385","34.373252415046","57.8095490082096","5.90239297549739","123.794349160004","304.58799"
"K6707L1-1_Before_DAT","Before_DAT","Charlie","31.339990933832","31.47156667","16.43086152","21.21803997","-0.191865638","260.5159605","0.005420991","365.648125","0.063070460206986","0.712477222466271","0.288838766","0.0839522108330943","0.291833088958005","59.9085301416273","500.142485483202","99.2636690058268","1.934704225","0.969547711245","86.8680973586255","78.5094464117335","-2.91774404614767","51.6307513530394","63.1735917394805","5.86881338207714","122.559893025702","304.47170625"
"K6707L1_Before_DAT","Before_DAT","Charlie","31.3481127006316","31.40848667","17.16672248","22.00403736","-0.182393584","272.7788046","0.005587895","379.1718667","0.0629327579361347","0.71940676130337","0.299454326","0.124255306017679","0.301385263113158","59.9638950679211","500.147449778684","99.2393719641579","1.911846476","0.96946323052768","90.4512180948647","80.1928063204195","-2.61013974223641","53.7358382734377","64.5194661260752","5.86461680903348","122.406052575983","304.45713333"
"K6707L2-2_Before_DAT","Before_DAT","Charlie","30.7253498239314","30.80064667","22.09961098","28.34707342","0.39251784","258.3689278","0.005978514","373.5022667","0.0855350957569752","0.691746612631735","0.352437636","0.074528513990961","0.357726381963061","60.0421891364116","500.139487306332","99.2367029425594","1.747136988","0.971090901896598","109.396018744492","83.9815574257595","-4.56863538966101","67.4468743851293","68.3672737886126","5.70025958137314","116.456795670967","303.87916"
"K6707L2_Before_DAT","Before_DAT","Charlie","30.7031561693158","30.73721875","20.15465076","29.73113731","0.656274469","230.4291961","0.006186031","331.8236","0.0874656992304631","0.694432813398444","0.366011335","0.0476048923390512","0.367411155694737","59.9781250965","500.145865913947","99.2483037803421","1.743484335","0.971772426158095","114.297066247187","85.6540533156645","-4.41728193414672","70.5670202540775","69.7617477237587","5.69682252175056","116.333962017882","303.86692"
"K6708L1_Before_DAT","Before_DAT","Emmy","31.6813804591076","31.80705667","8.200216349","14.09855383","-0.089812973","292.8121142","0.002945887","394.7343333","0.0280050447072657","0.741795403891207","0.148114485","0.416130670381388","0.14171026516273","60.0717739393176","500.130535706824","99.2533724013386","2.032465408","0.968013819941776","45.2858541185031","56.6796773276143","-0.908505003292686","26.4205138949309","45.372282731375","5.97900636030924","126.633958209555","304.85116667"
"K6708L2_Before_DAT","Before_DAT","Emmy","31.9091636392287","31.97586667","5.729875733","13.45736933","0.933072577","215.094821","0.002115594","317.0731875","0.0266388363344183","0.678375938047426","0.10034548","0.208127172748753","0.101368987167553","59.9746475813032","500.121855994149","99.1927315493351","2.071490632","0.973124778066212","39.1016296793535","51.6142063035693","-1.77369151447382","22.5481518218388","41.1970655696219","6.04283341631179","129.02423912362","305.0682"
"K6709L2-2_Before_DAT","Before_DAT","Emmy","31.81875","31.81875",NA,"35.94128234","35.94128234",NA,NA,NA,NA,NA,NA,"0","0.287192067","57.41159282","501.597","98.7789","2.136974098","0","142.350348806425","172.49163453453","-43.1039903017489","82.4617784650797","137.830249814093",NA,NA,NA
"K6709L2_Before_DAT","Before_DAT","Emmy","31.6561245144444","31.80366667","13.63857467","24.19619215","0.162072136","201.5204633","0.002958203","362.12275","0.0676783610292544","0.556497660807005","0.147656156","0.184450177681773","0.145488194833333","60.0486722664286","500.138571387302","98.7902336803968","2.025949719","0.967586486552316","91.3235668205007","91.7246638867609","-3.34794669883642","53.3505560476677","73.4516544436972","5.95336509247594","125.680003091342","304.7634125"
"K6709L3_Before_DAT","Before_DAT","Maquelle","31.6887154278075","31.73918","13.25136","27.91816","1.021999","187.5712","0.002222774","395.7871333","0.0706470929439061","0.473919398127135","0.108703454","0.489332386222164","0.0989994398743315","59.8940884405615","500.137943995989","99.0605503998663","2.010102447","0.959226142940243","94.5877594884281","115.15013281774","-4.01072374247614","55.1628305790324","92.1688012505311","5.97509160638635","126.488080831932","304.83779"
"K6709L6_Before_DAT","Before_DAT","Emmy","31.5985580006739","31.629025","14.08531327","29.85084058","4.262902563","101.0076879","0.002384546","300.9873333","0.139447932754829","0.335587836180879","0.118787193","0.132742320437409","0.123596556485175","59.9782784566307","500.13169916469","98.9524002283019","1.970231547","1.00303902874737","66.7696979318363","73.6982947758753","-11.1939558570911","39.125813183458","59.0647601057748","5.94695783783105","125.442191363296","304.74143333"
"K6709L8_Before_DAT","Before_DAT","Maquelle","31.537256819407","31.60023","12.02856","28.29962","0.8207148","183.136","0.00302949","320.9488125","0.0656810239384938","0.570608124621119","0.152199436","0.224401699935994","0.152387141436658","60.1413127431267","500.134621439084","99.1373528314825","1.957768254","0.969304239208293","93.9019523999005","116.064099511404","-3.60958523186706","55.2065465128607","93.1023522098732","5.94756879050425","125.464857778616","304.74353"
"K6713L1_Before_DAT","Before_DAT","Emmy","31.8089012500538","31.86066667","6.654308022","15.13528934","2.0159465","128.105171","0.001286239","309.1890667","0.0519441016319318","0.414326329088143","0.061897184","0.0672939778165988","0.0635412839274194","60.0778075728495","500.148712007796","99.6319483176075","2.027064794","0.995579083357477","34.503330220178","44.1694067246763","-4.47752183040161","19.9973827194276","35.298166895066","6.01690836121457","128.050666784193","304.98028667"
"K6713L2_Before_DAT","Before_DAT","Emmy","31.6181007642593","31.66944839","6.516047743","11.68682572","0.363616729","309.0466563","0.002695215","399.595125","0.0210843495963105","0.773399466022014","0.134906764","0.181816481125119","0.140108059494709","60.0573488330423","500.139714701323","99.6239361715344","1.984196902","0.972581609532739","33.2351747374023","45.5402739831476","-0.960901108638536","19.4549134352566","36.4875410640759","5.9646813329519","126.100566772226","304.80218125"
"K6713L3_Before_DAT","Before_DAT","Emmy","31.5673683388204","31.617575","8.773954803","16.48699461","1.973152977","203.840592","0.002183994","343.2836875","0.0430432168436795","0.593796324796237","0.109442535","0.135224340294079","0.113946148217158","60.0218326206434","500.147860692493","99.5486691891153","1.964861455","0.980687669572173","48.0508379788982","58.6996756426237","-3.69631769087063","28.2040329728731","47.0656801631675","5.94597389832016","125.405691395756","304.73805625"
"K6714L1_Before_DAT","Before_DAT","Charlie","31.8073181723747","31.86586","5.321119275","6.327680824","-0.342660766","245.2098564","0.001745509","357.3356667","0.0217002666741091","0.686217132100237","0.084581804","0.0545953386006203","0.0857525988021108","60.0650993410818","500.13583498153","99.6655235768338","2.03252307","0.967937834954665","24.2595174296486","8.38477665631012","-1.10485314068342","14.061426640545","6.70086412482663","6.01091416424275","127.82608974163","304.95991333"
"K6714L2_Before_DAT","Before_DAT","Charlie","31.2336039452756","31.25325333","7.764792467","8.47707984","-0.533505165","308.3519657","0.003357554","389.6463333","0.0251815889980558","0.791363704332849","0.181054045","0.0435237879233756","0.183629180120735","59.9988530489764","500.143809724409","99.6592152125197","1.87213524","0.969728207101084","33.2754976241057","12.6486413036655","-0.581763516728745","19.8976652188019","10.1962887702962","5.8138569458982","120.552908282602","304.28014667"
"K6715L1-1_Before_DAT","Before_DAT","Emmy","31.6496113941019","31.67404","5.024465","13.62674","1.158745","169.8164","0.001115403","326.4648","0.0295876311121894","0.52016756477268","0.054628337","0.154089971480223","0.0559535885603217","59.9660287844504","500.124992223861","99.4103724250402","1.985585931","0.985602258257331","34.6709510974184","46.6962636316902","-2.26390042664576","20.2614841426171","37.3970384113322","5.96599568201805","126.149459571104","304.80668"
"K6715L1_Before_DAT","Before_DAT","Emmy","31.6697844148936","31.69136","4.849272","13.13366","0.1303556","237.6483","0.001118514","391.0645625","0.0204052459032949","0.607695820047617","0.054723888","0.280575526660381","0.056732216412234","59.9756704640426","500.124469531383","99.5014312726862","1.987571801","0.96555904198552","37.4485223763805","53.4643020768732","-0.405782702325656","21.861406103313","42.8052218044954","5.96753860002121","126.206867053444","304.81196"
"K6715L2_Before_DAT","Before_DAT","Charlie","31.4593492749337","31.52649677","6.644007067","14.13006945","0.042622046","236.9223643","0.001542472","385.4593333","0.028042971319445","0.614649442450016","0.077708744","0.315239528490258","0.0830668081246684","59.9398985071353","500.128502901592","99.4557652610345","1.946347921","0.967448800567216","45.1177769321021","58.6508220549531","-0.661838979119223","26.638519346345","47.1035933699994","5.91864771626993","124.39412733555","304.64407333"
"K6716L1_Before_DAT","Before_DAT","Emmy","31.503682287234","31.61321","8.792198","15.71365","0.1919254","244.9293","0.002403005","371.5767333","0.035896881263287","0.659162100448984","0.122839477","0.621739407407729","0.101717050095745","59.8847230479787","500.129730362234","99.5643215801064","1.984556151","0.961877511065969","59.0055417746033","65.5097770846923","-1.27147173870575","34.7536851542223","52.5761904217369","5.91393589680824","124.220118432184","304.62783"
