"Tree_id","DAT","person","Mean.Tleaf","Max.Tleaf","Asat","Amax","Amin","Ci.at.Asat","E.at.Asat","Ca","A/Ci","Ci/Ca","gs.at.Asat","gs.index","Mean.gs","mean.RH","Flow","mean.Press","Max.VPD","Ciindex","vcmax_Best_Model","Jmax_Best","Rd_Best","Best_Vcmax_25C","Best Jmax_25C","GammaStar","Kmi","TleafK.Asat"
Maca1-1-Before_DAT,Before_DAT,Emmy,31.6563247907398,31.81052258,13.63857467,24.19619215,-0.562598454,201.5204633,0.002958203,362.12275,0.0676783610292544,0.556497660807005,0.147656156,0.214841169324914,0.145322940540816,60.0458558269388,500.138362880612,98.7903882912755,2.025949719,0.967586486552316,95.2210363609136,94.9101162876584,-2.71518996947349,55.626841032585,76.0023013443253,5.95336509247594,125.680003091342,304.7634125
Maca1-2-Before_DAT,Before_DAT,Emmy,31.7972055030058,31.86537333,12.23684225,23.62369343,-0.391349471,213.6291479,0.002464997,392.262375,0.0572807707669558,0.544607797013415,0.118546076,1.0311260768183,0.121591728274566,59.9640155499711,500.140938772254,98.7615787228902,2.229173402,0.924899264974583,93.2960755322528,99.5373773022044,-2.40328506386548,54.1047032332515,79.5575630801075,6.02131965632118,128.216065188427,304.99526875
Maca1-2-Traditional,Traditional,Charlie,31.8195983381818,31.89830323,8.630170541,23.88443061,-0.501914605,225.2346596,0.001911732,387.8971,0.0383163521827704,0.580655693481596,0.092017257,0.800883104512351,0.0783433744545455,60.03233837,500.129827172727,98.7228907627273,2.047784449,0.918656119778575,100.699066589102,118.549772274669,0.0662845498630238,58.3311922356185,94.7267393414417,6.00143523732626,127.471357138065,304.92766
Tree3-1-Before_DAT,Before_DAT,Emmy,31.6841392764796,31.80705667,8.200216349,14.09855383,-0.65042734,292.8121142,0.002945887,394.7343333,0.0280050447072657,0.741795403891207,0.148114485,0.416130670381388,0.141203127418367,60.0673701473725,500.130502355102,99.2533353419388,2.032465408,0.968013819941776,46.8224569525386,57.945213390243,-0.649940922541691,27.3130385911662,46.3835883045105,5.97900636030924,126.633958209555,304.85116667
Tree3-1-Traditional,Traditional,Emmy,31.77719832,31.95620968,6.018852884,12.99832188,-0.549390785,260.3578168,0.001696716,394.7970909,0.023117619274798,0.659472480423994,0.079257283,0.618223993089053,0.107728676545455,59.9460977881818,500.189314372727,99.23817394,2.078474333,0.966481756328213,45.3557315949498,61.25647862281,0.249048907438387,26.3299074974035,48.9732752828831,6.02310163251219,128.282909416355,305.00131818
Tree3-2-Before_DAT,Before_DAT,Emmy,31.9065707896701,31.97586667,5.729875733,13.45736933,-0.603778034,215.094821,0.002115594,317.0731875,0.0266388363344183,0.678375938047426,0.10034548,0.208127172748753,0.101182234916244,59.9872411569289,500.120734478934,99.1930140646447,2.071490632,0.973124778066212,41.7844891418898,53.7887245469621,-1.33149188037739,24.0983514485183,42.9340242040166,6.04283341631179,129.02423912362,305.0682
Tree3-2-Traditional,Traditional,Emmy,31.9861041236364,32.07044333,4.888678424,12.15973953,-0.734078258,271.2961331,0.00152304,393.4460323,0.0180197128803086,0.68953836314999,0.071489309,0.502548557592848,0.0797852487272727,59.9873514118182,500.114698727273,99.1662531090909,2.100141155,0.961846945619316,42.1764268487813,59.7125334673774,0.627599986516794,24.2290037557137,47.618846189434,6.06291326387696,129.780839950691,305.13606774
Maca1-6-Before_DAT,Before_DAT,Emmy,31.5984726289683,31.629025,11.15704875,29.85084058,-0.665194731,222.3483999,0.002343674,385.696,0.0501782281996085,0.576486144269062,0.118511323,0.132742320437409,0.123497582417989,59.9762132644709,500.130706437831,98.9525211481482,1.970231547,0.999300957780479,74.7608176387667,80.1788897749606,-9.90745841932006,43.8086620187347,64.2586473848861,5.90396021476952,123.852115101168,304.59340323
Maca1-6-Traditional,Traditional,Emmy,31.7010831991667,31.95895,11.1802268,24.71912,-0.512632363,216.2695691,0.002294521,385.8169667,0.0516957926467705,0.560549658947904,0.114112177,0.689193530435366,0.1016683605,59.9786691416667,500.12913405,98.9006498216667,2.058336355,0.949488413924523,103.013767585773,121.288408822864,-0.110393500123077,60.0379344484628,97.0656231063956,5.94853729334067,125.500793541059,304.74685333
tree8-2-Before_DAT,Before_DAT,Charlie,31.4612241658524,31.52649677,6.644007067,14.13006945,-0.421019728,236.9223643,0.001542472,385.4593333,0.028042971319445,0.614649442450016,0.077708744,0.315239528490258,0.0825727917379135,59.9440839562341,500.127583373282,99.4555907972265,1.946347921,0.967448800567216,46.2795496226311,59.6111533059327,-0.46661825306297,27.3216378851883,47.8734538925891,5.91864771626993,124.39412733555,304.64407333
