"unique","Vcmax","Jmax","Rd","TPU","Vcmax_SE","Jmax_SE","Rd_SE","TPU_SE","unique.1","method"
"K6709L6",52.0809557698539,111.244068829637,0.284676255801622,8.07123248526721,2.03156840726255,NA,0.182577943933362,NA,NA,"trad"
"K6709L8",55.225506992201,127.553621145297,0.252506952002085,8.69483453955625,3.60292272093616,NA,0.354594558626,NA,NA,"trad"
"K6713L1",20.9239633108656,44.6714230215494,0.274364741921652,3.92806487064055,0.43077351476832,NA,0.048466995514348,NA,NA,"trad"
"K6713L2",15.4967077893042,38.8476411781437,0.0855473504870075,3.45017391849567,0.936587426182152,NA,0.162658035298907,NA,NA,"trad"
"K6713L3",27.7672537045612,54.2263260623528,0.149562510097436,4.54586308253248,0.510425139198069,NA,0.0431623126153644,NA,NA,"trad"
"K6714L1",18.0602859179224,31.4860929930405,0.359072432181157,2.41648642183816,NA,NA,NA,NA,NA,"trad"
"K6714L2",21.9730574668887,36.8771637146591,0.367987445782901,2.73549353748319,NA,NA,NA,NA,NA,"trad"
"K6715L1",18.0222503582549,46.5078748044492,0.0624495696406663,4.09943652321356,0.457761171102432,NA,0.070229482707736,NA,NA,"trad"
"K6715L2",23.4513056885318,55.5412119771077,0.115209835426979,4.82359616514233,0.316981912371262,NA,0.0415778020331239,NA,NA,"trad"
"K6716L1",30.2493098683327,62.7838478527773,0.0117250986480419,5.18804836621601,0.631868067176129,NA,0.0554125039341842,NA,NA,"trad"
"K6716L2",28.0662862261168,62.0947931168259,-0.0414699203314779,5.11833002655617,1.06966859464295,NA,0.119556528383553,NA,NA,"trad"
"K6717L1",35.8696386489972,72.3031295555092,0.18927113566176,5.75423336188725,0.132692142002229,NA,0.0115003794004887,NA,NA,"trad"
"K6717L2",36.3563756952493,72.8592981287981,0.278511591022767,NA,0.804646455170347,NA,0.0771788302025063,NA,NA,"trad"
"K6718L1",14.3928970746824,40.8443410213042,0.552337545768168,NA,0.98238531161618,NA,0.176843193209436,NA,NA,"trad"
"K6718L2",9.19513139383639,24.659551499398,0.551428280194539,2.19212498228707,0.228462524917364,NA,0.0354867399915638,NA,NA,"trad"
