"Tree_id","DAT","person","Mean.Tleaf","Max.Tleaf","Asat","Amax","Amin","Ci.at.Asat","E.at.Asat","Ca","A/Ci","Ci/Ca","gs.at.Asat","gs.index","Mean.gs","mean.RH","Flow","mean.Press","Max.VPD","Ciindex","vcmax_Best_Model","Jmax_Best","Rd_Best","Best_Vcmax_25C","Best Jmax_25C","GammaStar","Kmi","TleafK.Asat"
Maca1-1-Before_DAT,Before_DAT,Emmy,31.6563247907398,31.81052258,13.63857467,24.19619215,-0.562598454,201.5204633,0.002958203,362.12275,0.0676783610292544,0.556497660807005,0.147656156,0.214841169324914,0.145322940540816,60.0458558269388,500.138362880612,98.7903882912755,2.025949719,0.967586486552316,119.704615231447,99.8693917398588,-2.31517562774413,69.9298165282282,79.973599263983,5.95336509247594,125.680003091342,304.7634125
Maca1-2-Before_DAT,Before_DAT,Emmy,31.7972055030058,31.86537333,12.23684225,23.62369343,-0.391349471,213.6291479,0.002464997,392.262375,0.0572807707669558,0.544607797013415,0.118546076,1.0311260768183,0.121591728274566,59.9640155499711,500.140938772254,98.7615787228902,2.229173402,0.924899264974583,88.7169399647463,97.9711480349199,-3.17397496786028,51.4491491862957,78.3057179229704,6.02131965632118,128.216065188427,304.99526875
Maca1-2-Traditional,Traditional,Charlie,31.8195983381818,31.89830323,8.630170541,23.88443061,-0.501914605,225.2346596,0.001911732,387.8971,0.0383163521827704,0.580655693481596,0.092017257,0.800883104512351,0.0783433744545455,60.03233837,500.129827172727,98.7228907627273,2.047784449,0.918656119778575,99.7528533445985,121.440439768973,-0.0562972261195204,57.7830863938211,97.0365160791077,6.00143523732626,127.471357138065,304.92766
Tree3-1-Before_DAT,Before_DAT,Emmy,31.6841392764796,31.80705667,8.200216349,14.09855383,-0.65042734,292.8121142,0.002945887,394.7343333,0.0280050447072657,0.741795403891207,0.148114485,0.416130670381388,0.141203127418367,60.0673701473725,500.130502355102,99.2533353419388,2.032465408,0.968013819941776,49.9692161620988,58.7469965124414,-0.519442627084214,29.1486440104834,47.0253941772251,5.97900636030924,126.633958209555,304.85116667
Tree3-1-Traditional,Traditional,Emmy,31.77719832,31.95620968,6.018852884,12.99832188,-0.549390785,260.3578168,0.001696716,394.7970909,0.023117619274798,0.659472480423994,0.079257283,0.618223993089053,0.107728676545455,59.9460977881818,500.189314372727,99.23817394,2.078474333,0.966481756328213,46.6455373141871,61.4635304331467,0.319214243641055,27.0786654621173,49.1388088808535,6.02310163251219,128.282909416355,305.00131818
Tree3-2-Before_DAT,Before_DAT,Emmy,31.9065707896701,31.97586667,5.729875733,13.45736933,-0.603778034,215.094821,0.002115594,317.0731875,0.0266388363344183,0.678375938047426,0.10034548,0.208127172748753,0.101182234916244,59.9872411569289,500.120734478934,99.1930140646447,2.071490632,0.973124778066212,44.6857139951516,54.4405100984384,-1.18993792337393,25.7715736795635,43.4542777865026,6.04283341631179,129.02423912362,305.0682
Tree3-2-Traditional,Traditional,Emmy,31.9861041236364,32.07044333,4.888678424,12.15973953,-0.734078258,271.2961331,0.00152304,393.4460323,0.0180197128803086,0.68953836314999,0.071489309,0.502548557592848,0.0797852487272727,59.9873514118182,500.114698727273,99.1662531090909,2.100141155,0.961846945619316,98.6183411857555,63.1029470056566,1.70380209093787,56.653072284642,50.3225931487905,6.06291326387696,129.780839950691,305.13606774
Maca1-6-Before_DAT,Before_DAT,Emmy,31.5984726289683,31.629025,11.15704875,29.85084058,-0.665194731,222.3483999,0.002343674,385.696,0.0501782281996085,0.576486144269062,0.118511323,0.132742320437409,0.123497582417989,59.9762132644709,500.130706437831,98.9525211481482,1.970231547,0.999300957780479,119.361748826072,82.6348208295194,-9.6290188010368,69.944105447758,66.2269311573283,5.90396021476952,123.852115101168,304.59340323
Maca1-6-Traditional,Traditional,Emmy,31.7010831991667,31.95895,11.1802268,24.71912,-0.512632363,216.2695691,0.002294521,385.8169667,0.0516957926467705,0.560549658947904,0.114112177,0.689193530435366,0.1016683605,59.9786691416667,500.12913405,98.9006498216667,2.058336355,0.949488413924523,107.367668510495,123.456858643933,0.00120798436177761,62.5754517574564,98.8010068508094,5.94853729334067,125.500793541059,304.74685333
tree8-2-Before_DAT,Before_DAT,Charlie,31.4612241658524,31.52649677,6.644007067,14.13006945,-0.421019728,236.9223643,0.001542472,385.4593333,0.028042971319445,0.614649442450016,0.077708744,0.315239528490258,0.0825727917379135,59.9440839562341,500.127583373282,99.4555907972265,1.946347921,0.967448800567216,49.581155115255,60.4807492383801,-0.297939967084169,29.2707767693123,48.5718225445684,5.91864771626993,124.39412733555,304.64407333
tree8-2-Traditional,Traditional,Charlie,31.4763383490909,31.61464839,7.141540998,14.64547266,-0.317335306,277.192696,0.002219114,390.3992333,0.0257638137694653,0.710023668993717,0.113460048,0.638242194301025,0.0855273579090909,60.0140918472727,500.115770081818,99.4672636863636,1.964600513,0.961699755302262,74.3127348821,69.6392003880012,0.84806816890983,43.834945500577,55.9138114918176,5.88655043498224,123.211174237618,304.5332
tree9-1-Before_DAT,Before_DAT,Charlie,31.0167374149745,31.3316,9.361662857,19.04838477,-0.361561518,243.48991,0.004959455,306.832,0.0384478472105887,0.793561004067372,0.283407066,0.615577331937361,0.236995705854592,59.6226386394898,500.137668367347,99.4814820578316,1.917899042,0.968719832821964,67.1867671539403,81.8777637057987,-0.527677830892655,40.6897709380124,66.2646194251575,5.74550670570162,118.079862152154,304.0397
tree9-1-Traditional,Traditional,Charlie,31.244158333,31.53723333,10.39582629,17.68013001,-0.522063802,278.8954367,0.003288484,385.9005,0.0372749960092839,0.722713333359247,0.176720731,0.84834853586473,0.1493602476,60.006003238,500.12721667,99.45607,1.944524357,0.959034322977575,70.9858782688168,85.0289371928078,0.0450391137332381,42.4215245504011,68.5307424220411,5.82119066605112,120.819776045945,304.3058
tree9-2-Before_DAT,Before_DAT,Charlie,31.0778889880867,31.234,10.95413665,20.52996921,-0.415886055,262.9262164,0.004501439,344.961,0.0416623979152198,0.762191135809555,0.250101211,0.319500596979241,0.238907975816327,59.9469159395153,500.137945153061,99.4084823554337,1.87929398,0.970417215469498,71.0784269679911,88.4761702852454,-0.809626258463674,42.8903584033569,71.5223790533039,5.79027025346971,119.696605544583,304.19745
tree9-2-Traditional,Traditional,Charlie,31.3616590909091,31.60875,11.98892832,18.76176295,-0.532118095,286.0211295,0.004153154,383.9883333,0.0419162330452933,0.74486932204927,0.226568466,0.861872994463957,0.131448541272727,60.0012454636364,500.1334697,99.3630712118182,1.962276128,0.954589800855021,80.8783616328178,89.4626994156166,0.324383445524246,48.0121913320768,71.9615680640037,5.81165343806176,120.472782069349,304.27243333
Tree10-1-Before_DAT,Before_DAT,Emmy,31.8086005918926,31.86066667,6.645606253,15.13528934,-0.42779783,128.2797889,0.001285872,309.1890667,0.0518055596285753,0.41489109000244,0.061879301,0.0739506535224656,0.0634447941867008,60.0774771499744,500.147492576215,99.6319256341944,2.027064794,0.995579083357477,52.0600112929654,48.4869353704109,-3.55055143042263,30.1733175865755,38.7486858542507,6.01690836121457,128.050666784193,304.98028667
Tree10-1-Traditional,Traditional,Emmy,31.8177565581818,31.87229333,4.951881747,11.61608643,-0.369767789,235.4844105,0.001138097,393.5248387,0.0210284907458874,0.598397832466985,0.05423056,0.367051234024823,0.0544581369090909,59.9640359209091,500.143526690909,99.6424822672727,2.038206306,0.95963342036568,92.8329137271734,57.699957725535,1.01328717767935,53.77966699517,46.1059993014202,6.02482136603695,128.347435367317,305.00715484
Tree10-2-Before_DAT,Before_DAT,Emmy,31.6189661822449,31.66944839,6.516047743,11.68682572,-0.392440692,309.0466563,0.002695215,399.595125,0.0210843495963105,0.773399466022014,0.134906764,0.181816481125119,0.139598061867347,60.0675952556888,500.138874098469,99.6240328426531,1.984196902,0.972581609532739,36.861913288545,47.2284859534348,-0.592238757168368,21.5769079680012,37.8396933353329,5.9646813329519,126.100566772226,304.80218125
Tree10-2-Traditional,Traditional,Emmy,31.6872905472727,31.93521613,5.579901282,10.49409731,-0.377629002,309.6285306,0.002557323,392.195,0.0180212762408788,0.789475976491286,0.128131637,0.767619720288584,0.103979297545455,60.0123671327273,500.137848381818,99.6033113872727,2.046607453,0.964118775740482,52.7993954441144,48.8670212561356,0.603465574014298,30.7944883551332,39.1150463360062,5.95903347416749,125.890578501396,304.78284
Tree10-3-Before_DAT,Before_DAT,Emmy,31.5699686023919,31.62041333,9.663236792,16.48699461,-0.339531194,228.9988204,0.002181677,382.830875,0.04219775794094,0.598172287958749,0.109358456,0.144512163986833,0.1134317173257,60.0219916813486,500.146574486768,99.5486506987786,1.967925366,0.980687669572173,61.8178363191632,63.8249259199191,-2.71820398406095,36.2796689534915,51.1731731002363,5.94355440518427,125.315961077958,304.72975
Tree10-3-Traditional,Traditional,Emmy,31.5872770663636,31.68296,7.269821824,13.81209621,-0.368091091,263.7754808,0.002046474,390.1288667,0.0275606428692746,0.676123976754679,0.102201063,0.562321669871856,0.113759652181818,59.9990865827273,500.143974763636,99.5059675845455,1.989088654,0.965903519780881,55.6816405761209,64.3097624882144,0.035867466733285,32.6481158691009,51.5488508790291,5.95405949853677,125.705790196173,304.76579333
tree11-1-Before_DAT,Before_DAT,Charlie,31.5564640691816,31.6190375,5.361992167,7.220667366,-0.341753307,271.5229891,0.001508425,396.8066667,0.0197478386076002,0.684270230029379,0.075838561,0.32272542144001,0.0760224633606138,60.0261806557545,500.147980667008,99.6670125658568,1.978917445,0.97417971817568,44.0739663876351,25.8708544776689,-1.12400159056513,25.8849558756422,20.7467144285618,5.92941208856357,124.792115482949,304.68114
tree11-1-Traditional,Traditional,Charlie,31.6402631272727,31.7364,4.201590591,8.221147879,-0.359173491,277.7412416,0.001292213,394.3733333,0.0151277158797003,0.704259690369891,0.064260511,0.746244314037762,0.0475329103636364,59.9944469436364,500.141554245455,99.6544750345455,1.998892785,0.956692884632021,54.8178077886072,40.538731484289,0.713145935335512,32.0510294685229,32.4700065210711,5.9426603734427,125.282812771512,304.72668
tree22-1-Before_DAT,Before_DAT,Charlie,31.8335806299745,31.92762,3.725689754,11.26225814,-0.936200865,282.1066975,0.002802696,336.7664667,0.0132066689200103,0.837692363685686,0.137450964,0.402561005501299,0.126091954048469,59.993226866199,500.139559047959,99.4111301334949,2.057924181,0.964453570882129,31.8151557337145,49.1740182985168,0.987196923513881,18.4162370544783,39.285424568475,6.01205337110496,127.868755796708,304.96378667
tree22-1-Traditional,Traditional,Charlie,31.9185611227273,32.0584,4.529229798,10.95291957,-0.749104633,306.2188986,0.002050869,393.4838387,0.0147908238802607,0.778224843011831,0.097728344,0.61144241655518,0.0930353753636364,60.0619463645455,500.138058554545,99.3743942727273,2.080424337,0.963878443229527,86.3866256968025,53.6885618349286,1.70337459607046,49.7919804826708,42.8480174764718,6.04843000591196,129.234893930057,305.08713548
tree22-2-Before_DAT,Before_DAT,Charlie,31.7058156543112,31.76513667,2.607738579,7.163671622,-0.814455641,310.0590406,0.002850481,350.787375,0.00841045813066352,0.883894526135668,0.142677449,0.107580970533669,0.139980033920918,60.0083827885459,500.143527843367,99.5322860533673,2.004059838,0.968850668153609,19.6321223507056,30.5311949690644,0.547013932413096,11.4390603465112,24.4321695151589,5.96760691427412,126.209409129579,304.81219375
tree22-2-Traditional,Traditional,Charlie,31.7042932254545,31.77277742,2.857580407,6.283559352,-0.62253066,343.7234344,0.002396449,395.2910968,0.00831360367380293,0.869545095203369,0.118372218,0.415706231357335,0.0981066428181818,59.9823025663636,500.135005781818,99.5319646327273,2.017830883,0.967886042270998,19.7016157741416,29.9696208162271,0.577742996326559,11.4804648582062,23.9832729830945,5.97708903235001,126.562501381775,304.84461613
