"","curv_meth","vcmax","jmax","tpu","leaf_id","treeid","leaf_unique","V_cmax_se","J_se","V_TPU_se","fit_type"
"141","SS",60.7015736683179,99.3203356538318,NA,"K6709L6","K6709","K6709L6",3.19736575629964,0.975003190210186,"NA","no_tpu"
"151","SS",63.9907048708024,105.934715873284,NA,"K6709L8","K6709","K6709L8",3.50577452612926,1.5773889554627,"NA","no_tpu"
"161","SS",25.868280224573,44.2928150860518,NA,"K6713L1","K6713","K6713L1",0.427917925496404,0.123106072585095,"NA","no_tpu"
"17","SS",18.9133593639251,38.423226025503,NA,"K6713L2","K6713","K6713L2",1.08539758867756,0.115488139975888,"NA","no_tpu"
"181","SS",33.9742666832721,52.4084540689175,NA,"K6713L3","K6713","K6713L3",0.576192936453848,0.195635499771312,"NA","no_tpu"
"191","SS",21.954821715549,27.8637086107939,NA,"K6714L1","K6714","K6714L1",0.0632285667095377,0.208476064810149,"NA","no_tpu"
"201","SS",19.8808846589109,30.1627237256099,NA,"K6714L2","K6714","K6714L2",3.57098458356821,0.205066808227758,"NA","no_tpu"
"211","SS",22.0753110254231,45.9968152162558,NA,"K6715L1","K6715","K6715L1",0.452136813887309,0.157767967918057,"NA","no_tpu"
"221","SS",28.547321190725,54.9771682074288,NA,"K6715L2","K6715","K6715L2",0.525425987424919,0.143423485481895,"NA","no_tpu"
"231","SS",36.9666800180096,62.09438847834,NA,"K6716L1","K6716","K6716L1",0.598410008825398,0.143162823384647,"NA","no_tpu"
"241","SS",34.3777378622275,60.797376697413,NA,"K6716L2","K6716","K6716L2",1.11080868539665,0.27544115749904,"NA","no_tpu"
"251","SS",43.2766999579409,69.4989289698232,NA,"K6717L1","K6717","K6717L1",0.360727379072067,0.34544770533905,"NA","no_tpu"
"261","SS",43.6113766332229,71.9036092609541,NA,"K6717L2","K6717","K6717L2",1.86895423473683,0.228912178952477,"NA","no_tpu"
"271","SS",17.8310184793411,40.7319708560837,NA,"K6718L1","K6718","K6718L1",0.974544513954355,0.186413590727963,"NA","no_tpu"
"281","SS",11.0430369755388,24.0306217508533,NA,"K6718L2","K6718","K6718L2",0.288631702429888,0.144140988826469,"NA","no_tpu"
