"","curv_meth.x","leaf_unique","dat_vcmax","dat_jmax","fit_type","treeid","curv_meth.y","ss_vcmax","ss_jmax","vc_diff","j_diff"
"1","DAT","K6702L1",16.6999781250114,24.0453116295858,"tpu","K6702","SS",15.7223868774886,31.4973220244293,-0.977591247522799,7.4520103948435
"2","DAT","K6704L1",21.8103222569684,48.8281551067154,"tpu","K6704","SS",24.4803926555908,58.3880951288816,2.6700703986224,9.5599400221662
"3","DAT","K6704L2",17.9826864204531,47.7909426331716,"tpu","K6704","SS",20.1850378784446,51.6187552510138,2.2023514579915,3.8278126178422
"4","DAT","K6705L1",20.0608067563291,39.2217998600696,"tpu","K6705","SS",19.7794962782652,36.5961509135292,-0.281310478063851,-2.62564894654039
"5","DAT","K6705L2",24.5944020324992,44.7139693813542,"tpu","K6705","SS",23.8766834288716,43.189880886,-0.717718603627599,-1.5240884953542
"6","DAT","K6706L1",31.1919460077514,51.1685458250515,"tpu","K6706","SS",32.7284411473156,55.4266382852899,1.5364951395642,4.25809246023839
"7","DAT","K6706L2",31.7030521410176,54.8946034319436,"tpu","K6706","SS",34.3921159858005,68.0705279592811,2.6890638447829,13.1759245273375
"8","DAT","K6707L1",69.8947261536024,99.2920023880769,"tpu","K6707","SS",64.2091415534769,102.756717092357,-5.68558460012551,3.4647147042801
"9","DAT","K6707L2",80.8896860405077,112.363961677592,"tpu","K6707","SS",83.1847801101414,120.503232372069,2.29509406963375,8.13927069447649
"10","DAT","K6708L1",28.453732046112,46.8714935715359,"tpu","K6708","SS",26.7403772016636,49.8467252331649,-1.7133548444484,2.975231661629
"11","DAT","K6708L2",24.2797110809525,42.1923071395358,"tpu","K6708","SS",24.7520492452971,48.0803797832776,0.472338164344603,5.8880726437418
"12","DAT","K6709L2",59.2962284754927,84.5458103422591,"tpu","K6709","SS",61.8109104187878,101.543738218681,2.5146819432951,16.9979278764219
"13","DAT","K6709L6",49.7784765464606,48.4405946574332,"tpu","K6709","SS",64.1307599131195,109.400168006773,14.3522833666589,60.9595733493398
"14","DAT","K6709L8",67.6327173414248,100.547596077738,"tpu","K6709","SS",63.9907048708024,105.934715873284,-3.64201247062239,5.387119795546
"15","DAT","K6713L1",24.7465720053319,35.9814421670951,"tpu","K6713","SS",25.8682799595775,44.2928120441761,1.1217079542456,8.311369877081
"16","DAT","K6713L2",20.4203876928336,36.9942418321941,"tpu","K6713","SS",18.9133596747589,38.4232236937433,-1.5070280180747,1.4289818615492
"17","DAT","K6713L3",32.3355745742297,49.9302769488151,"tpu","K6713","SS",33.9742611234906,52.4084478887469,1.6386865492609,2.4781709399318
"18","DAT","K6714L1",23.2295403095382,23.2080593145763,"tpu","K6714","SS",21.9548185074285,29.0604809164175,-1.2747218021097,5.8524216018412
"19","DAT","K6714L2",25.2708568736178,11.7537238851625,"tpu","K6714","SS",23.6747501448338,35.4767220038547,-1.596106728784,23.7229981186922
"20","DAT","K6715L1",21.4747222301247,38.3458193077706,"tpu","K6715","SS",22.0742612154155,46.0320627445871,0.599538985290753,7.68624343681655
"21","DAT","K6715L2",28.9085890852689,48.5082648723963,"tpu","K6715","SS",28.547321190725,54.9771682074288,-0.3612678945439,6.46890333503249
"22","DAT","K6716L1",34.953904964134,53.0223094306979,"tpu","K6716","SS",36.9666800180096,62.09438847834,2.0127750538756,9.0720790476421
"23","DAT","K6716L2",33.2001972920477,55.4474357715096,"tpu","K6716","SS",34.3777378622275,60.797376697413,1.1775405701798,5.3499409259034
"24","DAT","K6717L1",39.691848414264,66.2327632525711,"tpu","K6717","SS",43.2766999579409,69.4989289698232,3.5848515436769,3.26616571725209
"25","DAT","K6717L2",41.4364510995175,70.9515945309389,"tpu","K6717","SS",43.6113708143378,71.9036163797259,2.17491971482031,0.952021848786998
"26","DAT","K6718L1",15.9072784804641,36.3299929058312,"tpu","K6718","SS",17.831018132625,40.7319651697927,1.9237396521609,4.4019722639615
"27","DAT","K6718L2",10.0682256962695,22.7477136934297,"tpu","K6718","SS",11.0430366530893,24.0306209492233,0.9748109568198,1.2829072557936
